account_no,account_name,vat,type,sheet
5218,Hardware (under (33.100/14),I25,1,Sheet1
5219,IT Hardware mv. m halv moms,Halv,1,Sheet1
5222,Inventar (under 33.100/14),I25,1,Sheet1
5224,Rep. og vedl. af inventar,I25,1,Sheet1
5228,Køb EU,EU25,1,Sheet1
5229,Køb 3. Lande,UDL25,1,Sheet1
5233,Kontorartikler,I25,1,Sheet1
5234,Kunde udlæg office,,1,Sheet1
5235,Faktura service,I25,1,Sheet1
5237,Porto,,1,Sheet1
5241,"Abonnementer (Telefon, Internet )",I25,1,Sheet1
5242,Telefon-Internet -Personale halv moms,Halv,1,Sheet1
5247,Regnskab og administration,I25,1,Sheet1
5250,"Blade, tidsskrifter, faglitteratur",I25,1,Sheet1
5252,Blade og aviser,,1,Sheet1
5254,Forsikringer,,1,Sheet1
5255,Forsikringsskader indtægt,,1,Sheet1
5257,Abonnement m moms,I25,1,Sheet1
5258,Kontingenter,I25,1,Sheet1
5259,Kontingenter uden moms,,1,Sheet1
5260,Gebyrer med moms,I25,1,Sheet1
5262,Gebyrer uden moms,,1,Sheet1
5264,Kassedifferencer,,1,Sheet1
5266,Bankomkostninger,,1,Sheet1
5268,Advokat,I25,1,Sheet1
5270,Revisor,I25,1,Sheet1
5271,Rådgivende assistance,I25,1,Sheet1
5275,Konsulentbistand,I25,1,Sheet1
5280,Tab på debitorer,,1,Sheet1
5296,Regulering kreditorer,,1,Sheet1
5297,Diverse med moms,I25,1,Sheet1
5298,Diverse uden moms,,1,Sheet1
5299,Øvrige administrationsomk. i alt,,3,Sheet1
5799,Kapacitetsomkostninger i alt,,6,Sheet1
6000,**Indtjeningsbidrag**,,6,Sheet1
6100,AFSKRIVNINGER,,4,Sheet1
6111,Afskrivning Driftsmidler,,1,Sheet1
6131,Afskrivning Hardware,,1,Sheet1
6150,Afskrivning Inventar,,1,Sheet1
6160,Afskrivning Lokaler/indretning,,1,Sheet1
6190,Tab på debitorer,U25,1,Sheet1
6195,Hensat til tab på debitorer,,1,Sheet1
6198,AFSKRIVNINGER I ALT,,3,Sheet1
6199,**Resultat før renter**,,6,Sheet1
6500,FINANSIELLE POSTER,,4,Sheet1
6800,Renteindtægter mv.,,4,Sheet1
6806,Renteindtægt banker,,1,Sheet1
6810,Renteindtægt debitorer,,1,Sheet1
6814,Udbytte og renteindtægt på værdipapirer,,1,Sheet1
6818,Andre renteindtægter,,1,Sheet1
6820,Kursgevinster,,1,Sheet1
6849,Renteindtægter i alt,,3,Sheet1
6850,Renteudgifter mv.,,4,Sheet1
6856,Renteudgift banker,,1,Sheet1
